109C  -117.1051 32.8889
112A  -114.5804 32.5356
113A  -113.7667 32.7683
114A  -112.883 32.7513
115A  -112.2279 32.7006
116A  -111.7042 32.5618
117A  -110.7393 32.5716
118A  -109.9697 32.6399
119A  -109.3029 32.7663
120A  -108.633 32.5466
121A  -107.7851 32.5324
122A  -107.0005 32.6995
123A  -106.2622 32.6349
124A  -105.4544 32.7001
125A  -104.6573 32.6588
126A  -104.0204 32.6462
127A  -103.3575 32.6764
214A  -112.8115 31.9559
216A  -111.4574 32.0022
217A  -110.8162 31.7748
218A  -110.0464 31.9737
219A  -109.2592 31.9989
220A  -108.5266 31.9041
221A  -107.7782 32.0094
222A  -107.1013 32.1046
223A  -106.4276 32.0062
224A  -105.5226 32.076
225A  -104.8229 32.1101
226A  -104.1014 32.0618
227A  -103.2924 32.012
318A  -109.9907 31.439
319A  -109.2809 31.3757
320A  -108.5284 31.3369
324A  -105.4828 31.4425
325A  -104.9712 31.3711
326A  -103.9786 31.3165
327A  -103.4923 31.3691
328A  -102.8097 31.3818
425A  -104.9857 30.7862
426A  -104.0293 30.6689
427A  -103.4018 30.8498
428A  -102.6847 30.7263
526A  -104.0898 30.0609
527A  -103.6119 30.1456
528A  -102.788 30.1615
626A  -104.1335 29.554
627A  -103.3887 29.4528
628A  -102.8885 29.4862
A04A  -122.707 48.7197
A05A  -122.0852 48.9983
A06A  -121.4804 49.0983
A07A  -120.3837 49.048
A08A  -119.2725 48.9534
A09A  -118.5851 48.9752
A10A  -117.5586 48.9813
A11A  -116.3631 48.958
A12A  -115.6526 48.9339
A13A  -114.4135 48.933
A14A  -113.4218 48.9725
A15A  -112.7327 48.9777
A16A  -111.5968 48.9482
A17A  -110.6994 48.9448
A18A  -109.8459 48.9198
A19A  -108.7429 48.9286
A20A  -107.9257 48.8799
A21A  -106.9254 48.9912
A22A  -105.9153 48.9926
A23A  -104.8786 48.9592
A24A  -104.0018 48.9239
AAM  -83.6567 42.3012
ACSO  -82.982 40.2319
ADK  -176.6842 51.8823
ADO  -117.4339 34.55046
AGMN  -95.8619 48.2977
ALP0  -123.4074 44.3377
ALS0  -123.5952 44.4104
