AT SMY  174.1031 52.7308
AZ MONP  -116.4225 32.8927
AZ MONP2  -116.4223 32.892
AZ PFO  -116.4594 33.6117
BK BDM  -121.8655 37.95397
BK CMB  -120.3865 38.03455
BK CVS  -122.4584 38.34526
BK FARB  -123.0011 37.69782
BK GASB  -122.716 39.65471
BK HOPS  -123.0723 38.99349
BK HUMO  -122.9567 42.6071
BK JCC  -124.0295 40.81745
BK JRSC  -122.2387 37.40373
BK KCC  -119.3187 37.32363
BK MCCM  -122.8802 38.14478
BK MNRC  -122.4428 38.87874
BK MOD  -120.3029 41.90246
BK ORV  -121.5004 39.55451
BK PACP  -121.287 37.008
BK PKD  -120.5416 35.94517
BK SAO  -121.4472 36.76403
BK WDC  -122.5411 40.57988
BK WENL  -121.757 37.62211
BK YBH  -122.7104 41.73204
CI ADO  -117.4339 34.55046
CI ARV  -118.8301 35.1269
CI BBR  -116.9208 34.2623
CI BC3  -115.4537 33.65515
CI BCC  -117.2612 33.57508
CI BEL  -115.9982 34.0006
CI BFS  -117.6585 34.23883
CI CIA  -118.415 33.4019
CI CWC  -118.0802 36.43988
CI DAN  -115.3811 34.63745
CI DEC  -118.3338 34.25353
CI DVT  -116.1006 32.65915
CI EDW2  -117.9939 34.8811
CI FMP  -118.2938 33.71264
CI FUR  -116.8632 36.46703
CI GLA  -114.8271 33.05149
CI GMR  -115.6599 34.78457
CI GOR  -117.2292 33.1537
CI GRA  -117.3662 36.99608
CI GSC  -116.8057 35.30177
CI HEC  -116.335 34.8294
CI IRM  -115.1451 34.15738
CI ISA  -118.474 35.66278
CI LGU  -119.0659 34.10819
CI LRL  -117.6821 35.47954
CI MLAC  -118.8361 37.63019
CI MPM  -117.489 36.05799
CI MPP  -119.8136 34.88848
CI MUR  -117.1954 33.59999
CI NEE  -114.5994 34.8249
CI NEE2  -114.6188 34.76759
CI OSI  -118.7235 34.6145
CI PASC  -118.1852 34.17141
CI PDM  -114.1415 34.30336
CI RCT  -119.2438 36.30523
CI RRX  -116.9968 34.87533
CI SBC  -119.7149 34.44076
CI SCI2  -118.547 32.9799
CI SCZ2  -119.6351 33.99543
CI SDP  -120.5014 34.56547
CI SDR  -116.9424 32.73561
CI SHO  -116.2753 35.89953
CI SMM  -119.9958 35.3142
CI SNCC  -119.5244 33.24787
CI SWS  -115.7999 32.94508
CI TIN  -118.2301 37.05422
CI TUQ  -115.9239 35.43584
CI VES  -119.0847 35.84089
II KDAK  -152.5835 57.7828
II PFO  -116.4553 33.6092
IU ADK  -176.6842 51.8823
IU ANMO  -106.4571 34.94591
IU CCM  -91.2446 38.0557
IU COLA  -147.8616 64.8736
IU COR  -123.3046 44.5855
IU DWPF  -81.4327 28.1103
IU HKT  -95.8384 29.9618
IU HRV  -71.5583 42.5064
IU RSSD  -104.0359 44.1212
IU SSPA  -77.8876 40.6358
IU TUC  -110.7847 32.3098
IU WCI  -86.2939 38.2289
IU WVT  -87.83 36.1297
LB BMN  -117.221 40.4314
LD PAL  -73.9079 41.0056
NN BEK  -120.3596 39.8666
NN OMM  -119.0004 37.6123
NN WCN  -119.759 39.3104
TA 109C  -117.1051 32.8889
TA 112A  -114.5804 32.5356
TA 113A  -113.7667 32.7683
TA 114A  -112.883 32.7513
TA 115A  -112.2279 32.7006
TA 116A  -111.7042 32.5618
TA 117A  -110.7393 32.5716
TA 118A  -109.9697 32.6399
TA 119A  -109.3029 32.7663
TA 120A  -108.633 32.5466
TA 121A  -107.7851 32.5324
TA 122A  -107.0005 32.6995
TA 123A  -106.2622 32.6349
TA 124A  -105.4544 32.7001
TA 125A  -104.6573 32.6588
TA 126A  -104.0204 32.6462
TA 127A  -103.3575 32.6764
TA 214A  -112.8115 31.9559
TA 216A  -111.4574 32.0022
TA 217A  -110.8162 31.7748
TA 218A  -110.0464 31.9737
TA 219A  -109.2592 31.9989
TA 220A  -108.5266 31.9041
TA 221A  -107.7782 32.0094
TA 222A  -107.1013 32.1046
TA 223A  -106.4276 32.0062
TA 224A  -105.5226 32.076
TA 225A  -104.8229 32.1101
TA 226A  -104.1014 32.0618
TA 227A  -103.2924 32.012
TA 318A  -109.9907 31.439
TA 319A  -109.2809 31.3757
TA 320A  -108.5284 31.3369
TA 324A  -105.4828 31.4425
TA 325A  -104.9712 31.3711
TA 326A  -103.9786 31.3165
TA 327A  -103.4923 31.3691
TA 328A  -102.8097 31.3818
TA 425A  -104.9857 30.7862
TA 426A  -104.0293 30.6689
TA 427A  -103.4018 30.8498
TA 428A  -102.6847 30.7263
TA 526A  -104.0898 30.0609
TA 527A  -103.6119 30.1456
TA 528A  -102.788 30.1615
TA 626A  -104.1335 29.554
TA 627A  -103.3887 29.4528
